"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "HTML", "PostCSS", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Main Content\Blog Comp\ShowLessComp\index.jsx", "JavaScript JSX", 0, 0, 191, 0, 0, 0, 0, 1, 25, 217
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Main Content\Blog Comp\index.jsx", "JavaScript JSX", 0, 0, 143, 0, 0, 0, 0, 7, 8, 158
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Main Content\Blog Comp\skeleton.jsx", "JavaScript JSX", 0, 0, 64, 0, 0, 0, 0, 2, 5, 71
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Main Content\No Content\index.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Main Content\index.jsx", "JavaScript JSX", 0, 0, 175, 0, 0, 0, 0, 8, 16, 199
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Right Content\FollowListItem\publication.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 0, 0, 0, 6, 81
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Right Content\FollowListItem\skeleton.jsx", "JavaScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Right Content\FollowListItem\user.jsx", "JavaScript JSX", 0, 0, 74, 0, 0, 0, 0, 0, 6, 80
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Right Content\StaffListItem\index.jsx", "JavaScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 3, 38
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Right Content\StaffListItem\skeleton.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, 0, 0, 0, 3, 44
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Right Content\TopicListItem\index.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Right Content\TopicListItem\skeleton.jsx", "JavaScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Right Content\index.jsx", "JavaScript JSX", 0, 0, 127, 0, 0, 0, 0, 12, 8, 147
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\LibraryComp\MyLists\CreateListBanner\index.jsx", "JavaScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 8, 73
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\LibraryComp\ReadingHistory\Loader\index.jsx", "JavaScript JSX", 0, 0, 60, 0, 0, 0, 0, 0, 6, 66
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\LibraryComp\ReadingHistory\ReadingHistoryItem\MoreButton\index.jsx", "JavaScript JSX", 0, 0, 61, 0, 0, 0, 0, 0, 5, 66
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\LibraryComp\ReadingHistory\ReadingHistoryItem\index.jsx", "JavaScript JSX", 0, 0, 146, 0, 0, 0, 0, 0, 7, 153
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\LibraryComp\SavedListItem\MoreButton\index.jsx", "JavaScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 5, 48
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\LibraryComp\SavedListItem\Save\index.jsx", "JavaScript JSX", 0, 0, 74, 0, 0, 0, 0, 2, 12, 88
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\LibraryComp\SavedListItem\index.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 0, 7, 7, 95
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\LibraryComp\SectionHeader\index.jsx", "JavaScript JSX", 0, 0, 61, 0, 0, 0, 0, 0, 8, 69
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ListDetailsComp\ClappedUsersList\ClappedUser\index.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 0, 0, 0, 11, 86
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ListDetailsComp\ClappedUsersList\index.jsx", "JavaScript JSX", 0, 0, 131, 0, 0, 0, 0, 3, 21, 155
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ListDetailsComp\CommentDrawer\CommentList\index.jsx", "JavaScript JSX", 0, 0, 208, 0, 0, 0, 0, 0, 17, 225
